supplier_tax_id,supplier_name,contracts,value_amd,single_source_share_of_value_pct,distinct_buyers,top_buyer_tax_id,top_buyer_name,top_buyer_contracts,top_buyer_value_amd,top_buyer_share_of_value_pct,first_contract,last_contract
01246073,«Էլիտ Կապիտալ» ՍՊԸ,19,4930607628,0,1,02522157,ՀՀ  պաշտպանության  նախարարություն,19,4930607628,100,2016-02-17,2019-04-11
25235753,ŠKODA JS a.s.,28,4899118408,0,1,04401874,«Հայկական ատոմային էլեկտրակայան» ՓԲԸ,28,4899118408,100,2019-03-03,2026-05-19
90213015,Ավանգարդ ՍՊԸ,43,4847713202,0.72,3,02522157,ՀՀ  պաշտպանության  նախարարություն,40,4801069592,99.04,2016-08-24,2021-04-15
02630537,ՇԻՆ ՍՊԸ,15,4790473387,15.08,7,02565827,ՀՀ քաղաքաշինության կոմիտե,7,4429371890,92.46,2020-12-22,2025-09-16
03017721,Հրազդանի ԲԺշկական Կենտրոն ՓԲԸ,70,4763170902,89.74,3,02507171,ՀՀ  առողջապահության  նախարարություն,62,4762183902,99.98,2017-02-09,2026-07-28
01806173,ՙԹիվ 19 պոլիկլինիկա՚ ՓԲԸ,21,4702451639,88.63,2,02507171,ՀՀ  առողջապահության  նախարարություն,18,4700744725,99.96,2015-10-01,2023-04-25
01508606,Ինֆեկցիոն հիվանդությունների ազգային կենտրոն ՓԲԸ,47,4652886107,70.32,1,02507171,ՀՀ  առողջապահության  նախարարություն,47,4652886107,100,2017-02-09,2026-04-06
03801255,Խարբերդի մասնագիտացված մանկատուն  ՊՈԱԿ,11,4358168200,0,1,01506515,ՀՀ  աշխատանքի և սոցիալական հարցերի նախարարություն,11,4358168200,100,2022-02-02,2026-07-15
09420382,Կապանի բժշկական կենտրոն ՓԲԸ,113,4215321629,81.9,4,02507171,ՀՀ  առողջապահության  նախարարություն,103,4213826011,99.96,2014-05-26,2026-07-05
08210623,«Մարտունու ԲԿ» ՓԲԸ,63,4187066353,89.28,3,02507171,ՀՀ  առողջապահության  նախարարություն,57,4186006103,99.97,2017-02-09,2023-11-02
04707075,«Էջմիածնի բժշկական կենտրոն» ՓԲԸ,55,4118951795,88.53,2,02507171,ՀՀ  առողջապահության  նախարարություն,53,4048771795,98.3,2017-02-09,2026-04-13
00089186,«Էրիզ» ՓԲԸ,37,4117629193,0.41,3,02522157,ՀՀ  պաշտպանության  նախարարություն,35,4108572393,99.78,2016-09-20,2022-09-18
00813453,Ճաննախագիծ ինստիտուտ  ՍՊԸ,406,4077906437,53.68,33,02578338,ՀՀ տարածքային կառավարման և ենթակառուցվածքների նախարարություն,309,3706516577,90.89,2016-09-14,2026-08-20
09211641,Գորիսի բժշկական կենտրոն ՓԲԸ,105,4062079348,83.63,2,02507171,ՀՀ  առողջապահության  նախարարություն,104,4061686888,99.99,2017-02-09,2026-04-13
03804631,Մասիսի ԲԿ ՓԲԸ,66,3954856156,86.2,1,02507171,ՀՀ  առողջապահության  նախարարություն,66,3954856156,100,2017-02-09,2024-01-31
90018697,Արցախ Կարի Կոշիկի Արտադրական  Միավորում ՓԲԸ,26,3882452840,8.96,3,02522157,ՀՀ  պաշտպանության  նախարարություն,24,3872467640,99.74,2017-04-06,2021-06-23
08270782,ԱՐԱՄԵ ՍՊԸ,45,3880269607,8.6,2,00846441,Հայաստանի տարածքային զարգացման հիմնադրամ,44,3608589607,93,2024-06-11,2026-08-13
09202127,ԱՐՏ ԿՈՆՍՏՐԱԿՏ ՍՊԸ,10,3845657404,99.41,3,02565827,ՀՀ քաղաքաշինության կոմիտե,8,3823030384,99.41,2019-02-25,2021-07-18
01551257,Գնահատման և թեստավորման կենտրոն,12,3779180400,0,1,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",12,3779180400,100,2022-01-31,2026-02-12
02656691,ԱՆՆԱՐԿԱ ՍՊԸ,171,3722245363,0.01,52,02507171,ՀՀ  առողջապահության  նախարարություն,5,3395272778,91.22,2020-11-24,2024-08-21
01506092,Հայաստանի ազգային գրադարան ՊՈԱԿ,74,3686176620,0.02,6,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",34,3685507620,99.98,2021-09-22,2026-07-30
01573197,«Կամերային երաժշտության ազգային կենտրոն» ՊՈԱԿ,97,3676877700,0.49,15,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",76,3658897300,99.51,2019-05-28,2026-07-22
00886959,Ավան հոգեկան առողջության կենտրոն ՓԲԸ,115,3672408821,91.64,3,02507171,ՀՀ  առողջապահության  նախարարություն,25,3668441621,99.89,2017-02-09,2026-02-24
01203271,Հայաստանի կինոյի հիմնադրամ,187,3624370775,0.03,3,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",184,3622324675,99.94,2017-04-19,2026-08-23
01550374,Կրթական տեխնոլոգիաների ազգային կենտրոն ՊՈԱԿ,21,3617284300,0,1,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",21,3617284300,100,2022-01-31,2026-02-12
02628699,Հայաստանի պետական սիմֆոնիկ նվագախումբ,62,3595404720,2.01,5,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",49,3463384200,96.33,2021-09-27,2026-06-24
01401456,Հ.Ա.Ն.Ս.-ՖՈՒԴ ՍՊԸ,20,3594853127,0.72,2,02522157,ՀՀ  պաշտպանության  նախարարություն,18,3545733097,98.63,2017-01-30,2020-04-19
00078217,Հայաստանի ազգային արխիվ ՊՈԱԿ,223,3586478215,1.38,55,02506264,ՀՀ  արդարադատության նախարարություն,8,3256493500,90.8,2016-09-01,2026-07-27
00478817,«ԴԱՆՆԻԿ» ՍՊԸ,25,3513854972,0,7,00462592,«Հոգեկան առողջության պահպանման ազգային կենտրոն» ՓԲԸ,3,3358581850,95.58,2019-03-24,2023-03-27
00470024,ԷԿՐԱ ԿՈՎԿԱՍ ՍՊԸ,28,3510761739,0.6,6,04401874,«Հայկական ատոմային էլեկտրակայան» ՓԲԸ,19,3367150318,95.91,2019-08-19,2026-03-17
04214892,ՄոսԷսքո  ՍՊԸ,227,3488165111,4.74,42,02522157,ՀՀ  պաշտպանության  նախարարություն,40,3215301807,92.18,2016-08-11,2025-06-16
00883641,«Էմ Ջի դիզայն» ՍՊԸ,41,3379588277,92.99,9,02565827,ՀՀ քաղաքաշինության կոմիտե,19,3358489969,99.38,2017-03-06,2026-07-08
00257466,«Հանրային կապերի և տեղեկատվության կենտրոն» ՊՈԱԿ,14,3360396200,0.06,1,02505554,ՀՀ վարչապետի աշխատակազմ,14,3360396200,100,2019-05-16,2026-01-15
05002894,Աշտարակի բժշկական կենտրոն ՓԲԸ,69,3354540135,84.85,2,02507171,ՀՀ  առողջապահության  նախարարություն,66,3353648670,99.97,2017-02-02,2025-08-18
02657678,«Կրթության զարգացման և նորարարությունների ազգային կենտրոն» հիմնադրամ,16,3342380010,2.32,2,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",15,3336980010,99.84,2019-08-08,2026-02-10
02238453,Բիլլ Սթոուն ՍՊԸ,31,3292335530,16.06,3,01533334,ՀՀ ներքին գործերի նախարարություն,19,3277746030,99.56,2017-02-21,2024-02-12
01271163,Inovator LLC,17,3287410384,13.24,1,02505983,ՀՀ էկոնոմիկայի նախարարություն,17,3287410384,100,2021-05-30,2026-12-29
04112138,Վեդու բժշկական կենտրոն ՓԲԸ,55,3281984710,90.22,1,02507171,ՀՀ  առողջապահության  նախարարություն,55,3281984710,100,2017-02-09,2023-08-30
01503291,Հայնախագիծ  ԲԲԸ ,87,3247226097,38.88,5,02565827,ՀՀ քաղաքաշինության կոմիտե,80,3216599360,99.06,2017-02-13,2026-06-29
02511849,Թիվ 2 բուժմիավորում ՓԲԸ,37,3194137230,92.36,1,02507171,ՀՀ  առողջապահության  նախարարություն,37,3194137230,100,2017-02-09,2023-04-25
04214258,Մելիորացիա ՓԲԸ,15,3190556644,99.89,3,02555816,ՀՀ  տարածքային կառավարման և ենթակառուցվածքների նախարարության ջրային կոմիտե,13,3186806644,99.88,2018-10-18,2026-06-02
02602449,Բարեկեցության տեղեկատվական համակարգերի ձեռնարկություն հիմնադրամ,25,3180043410,16.14,5,01506515,ՀՀ  աշխատանքի և սոցիալական հարցերի նախարարություն,19,3098010220,97.42,2017-02-05,2026-07-08
02514117,«Մարգարյան ծննդատուն»մոր և մանկան առողջության պահպանման կենտրոն ՓԲԸ,71,3100809037,74.78,2,02507171,ՀՀ  առողջապահության  նախարարություն,70,3093009037,99.75,2017-02-02,2025-09-28
02593108,Երևանի քաղաքապետարան,53,3073869562,0.98,5,02593108,ԵՐԵՎԱՆԻ ՔԱՂԱՔԱՊԵՏԱՐԱՆ,1,3028410000,98.52,2005-08-15,2025-12-14
02538276,Պաշտոնական տեղեկագիր ՓԲԸ,59,3068611102,99.02,16,02506264,ՀՀ  արդարադատության նախարարություն,12,3023181800,98.52,2010-01-24,2026-01-29
02506317,Հայաստանի Ազգային պատկերասրահ ՊՈԱԿ,40,3056579850,0.17,6,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",25,3051225200,99.82,2016-05-24,2026-05-11
02511401,Պատմամշակութային արգելոց-թանգարանների և պատմական միջավայրի պահպանության ծառայություն ՊՈԱԿ,30,3033048581,0.02,2,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",29,3033024581,100,2021-10-24,2026-06-08
01539021,<<Կոնսէլ>> ՍՊԸ,76,3013272300,6.35,20,02647057,ՀՀ պետական եկամուտների կոմիտե,18,2729194160,90.57,2016-09-02,2025-12-18
01013688,«Բեսթ Լայֆ ԲԿ» ՍՊԸ,24,2979772770,97.53,2,02507171,ՀՀ  առողջապահության  նախարարություն,23,2979308372,99.98,2017-02-09,2025-12-01
01203444,Ա.Վ. Մալայանի անվան հանրապետական ակնաբուժական կենտրոն,40,2972060774,91.78,1,02507171,ՀՀ  առողջապահության  նախարարություն,40,2972060774,100,2017-02-09,2023-09-12
00007748,Իզմիրյան ԲԿ ՓԲԸ,32,2926966820,86.49,3,02507171,ՀՀ  առողջապահության  նախարարություն,29,2919036820,99.73,2016-09-13,2023-01-22
00800135,Միքայելյան վիրաբուժության ինստիտուտ ՓԲԸ,31,2860874985,96.39,3,02507171,ՀՀ  առողջապահության  նախարարություն,29,2859034985,99.94,2017-02-09,2023-11-09
06609753,Ալավերդու բժշկական կենտրոն,67,2856018501,91.28,2,02507171,ՀՀ  առողջապահության  նախարարություն,66,2855612922,99.99,2017-02-09,2026-04-12
05521918,Գյումրու Երեխաների տուն ՊՈԱԿ,10,2848857500,0,1,01506515,ՀՀ  աշխատանքի և սոցիալական հարցերի նախարարություն,10,2848857500,100,2022-02-01,2026-07-22
01202055,«ԼՍՈՖՏ» ՍՊԸ,111,2811703000,44.24,15,02629081,ՀՀ ֆինանսների նախարարություն,39,2585200000,91.94,2016-10-27,2026-02-15
00830786,«Զանգակ-97» ՍՊԸ,53,2807468436,66.18,8,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",29,2653970610,94.53,2016-06-06,2026-07-27
01804194,«Հաղթանակ» շուրջօրյա խնամքի կենտրոն» ՊՈԱԿ,14,2762655400,0,1,01506515,ՀՀ  աշխատանքի և սոցիալական հարցերի նախարարություն,14,2762655400,100,2022-01-30,2026-02-04
04001274,Արարատի հիվանդանոց ԲԿ ՓԲԸ,60,2737625279,89.24,2,02507171,ՀՀ  առողջապահության  նախարարություն,59,2737221200,99.99,2017-02-09,2025-08-18
22945907,ԲՄՍ տեխնո ՍՊԸ,23,2721471170,0,1,02550991,«Կրթական ծրագրերի կենտրոն» ԾԻԳ,23,2721471170,100,2024-05-12,2025-02-02
01289778,ԶՆԱԿ ՍՏԱՆԴԱՐՏ ՍՊԸ,11,2712361600,1.78,2,01533334,ՀՀ ներքին գործերի նախարարություն,10,2704561600,99.71,2019-04-30,2026-04-20
08620315,Սևանի ԲԿ ՓԲԸ,72,2677799372,85.74,2,02507171,ՀՀ  առողջապահության  նախարարություն,70,2677502372,99.99,2017-02-09,2025-01-07
02804057,Չարենցավանի ԲԿ ՓԲԸ,67,2618862422,87.66,1,02507171,ՀՀ  առողջապահության  նախարարություն,67,2618862422,100,2017-02-09,2024-02-22
02857994,«ԸԼԱՅՆ ԹԵՔՆՈԼՈՋԻ» ՍՊԸ,13,2600806296,0,1,02565518,ՀՀ բարձր տեխնոլոգիական արդյունաբերության նախարարություն,13,2600806296,100,2023-01-12,2026-08-03
06805261,Սպիտակի ԲԿ,80,2586983718,87.26,1,02507171,ՀՀ  առողջապահության  նախարարություն,80,2586983718,100,2017-02-09,2026-04-09
02510974,«Հ. Պարոնյանի անվան երաժշտական կոմեդիայի պետական թատրոն»  ՊՈԱԿ,36,2562291943,0.63,9,02512868,"ՀՀ կրթության, գիտության, մշակույթի և սպորտի նախարարություն",14,2512485500,98.06,2016-12-01,2026-04-14
